raw,doi_sample,container_title,issn,publisher,venue_key,norm_raw,norm_key
2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC),10.1109/SCCC59417.2023.10315744,2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC),,IEEE,2023 42nd ieee international conference of the chilean computer science society,2023 42nd ieee international conference of the chilean computer science society,2023 42nd ieee international conference of the chilean computer science society
"2023 IEEE International Conference on Metrology for eXtended Reality, Artificial Intelligence and Neural Engineering (MetroXRAINE)",10.1109/MetroXRAINE58569.2023.10405724,"2023 IEEE International Conference on Metrology for eXtended Reality, Artificial Intelligence and Neural Engineering (MetroXRAINE)",,IEEE,2023 ieee international conference on metrology for extended reality artificial intelligence and neural engineering,2023 ieee international conference on metrology for extended reality artificial intelligence and neural engineering,2023 ieee international conference on metrology for extended reality artificial intelligence and neural engineering
2024 7th Asia Conference on Cognitive Engineering and Intelligent lnteraction (CEII),10.1109/CEII65291.2024.00052,2024 7th Asia Conference on Cognitive Engineering and Intelligent lnteraction (CEII),,IEEE,2024 7th asia conference on cognitive engineering and intelligent lnteraction  ceii,2024 7th asia conference on cognitive engineering and intelligent lnteraction,2024 7th asia conference on cognitive engineering and intelligent lnteraction ceii
Generative AI and LLMs: Natural Language Processing and Generative Adversarial Networks,,,,,generative ai and llms  natural language processing and generative adversarial networks,generative ai and llms natural language processing and generative adversarial networks,generative ai and llms natural language processing and generative adversarial networks
IEEE Access,10.1109/ACCESS.2023.3329573,IEEE Access,2169-3536,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2169-3536,ieee access,issn 2169 3536
2020 IEEE 9th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),10.1109/ITAIC49862.2020.9339015,2020 IEEE 9th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),,IEEE,2020 ieee 9th joint international information technology and artificial intelligence conference,2020 ieee 9th joint international information technology and artificial intelligence conference,2020 ieee 9th joint international information technology and artificial intelligence conference
"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP39728.2021.9414429,"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,IEEE,icassp 2021 2021 ieee international conference on acoustics speech and signal processing,icassp 2021 2021 ieee international conference on acoustics speech and signal processing,icassp 2021 2021 ieee international conference on acoustics speech and signal processing
2021 15th International Conference on Ubiquitous Information Management and Communication (IMCOM),10.1109/IMCOM51814.2021.9377424,2021 15th International Conference on Ubiquitous Information Management and Communication (IMCOM),,IEEE,2021 15th international conference on ubiquitous information management and communication  imcom,2021 15th international conference on ubiquitous information management and communication,2021 15th international conference on ubiquitous information management and communication imcom
2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),10.1109/ICMNWC60182.2023.10435654,2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),,IEEE,2023 3rd international conference on mobile networks and wireless communications  icmnwc,2023 3rd international conference on mobile networks and wireless communications,2023 3rd international conference on mobile networks and wireless communications icmnwc
2025 IEEE 14th Data Driven Control and Learning Systems (DDCLS),10.1109/DDCLS66240.2025.11065002,2025 IEEE 14th Data Driven Control and Learning Systems (DDCLS),,IEEE,2025 ieee 14th data driven control and learning systems,2025 ieee 14th data driven control and learning systems,2025 ieee 14th data driven control and learning systems
"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP49357.2023.10097009,"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,IEEE,icassp 2023 2023 ieee international conference on acoustics speech and signal processing,icassp 2023 2023 ieee international conference on acoustics speech and signal processing,icassp 2023 2023 ieee international conference on acoustics speech and signal processing
2024 IEEE International Conference on Vehicular Electronics and Safety (ICVES),10.1109/ICVES61986.2024.10928135,2024 IEEE International Conference on Vehicular Electronics and Safety (ICVES),,IEEE,2024 ieee international conference on vehicular electronics and safety,2024 ieee international conference on vehicular electronics and safety,2024 ieee international conference on vehicular electronics and safety
Computing in Science \& Engineering,10.1109/MCSE.2025.3567208,Computing in Science &amp; Engineering,1521-9615,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1521-9615,computing in science engineering,issn 1521 9615
2025 International Conference on Innovation in Artificial Intelligence and Internet of Things (AIIT),10.1109/AIIT63112.2025.11082753,2025 International Conference on Innovation in Artificial Intelligence and Internet of Things (AIIT),,IEEE,2025 international conference on innovation in artificial intelligence and internet of things  aiit,2025 international conference on innovation in artificial intelligence and internet of things,2025 international conference on innovation in artificial intelligence and internet of things aiit
IEEE Aerospace and Electronic Systems Magazine,10.1109/MAES.2020.3043072,IEEE Aerospace and Electronic Systems Magazine,0885-8985,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0885-8985,ieee aerospace and electronic systems magazine,issn 0885 8985
2024 2nd International Conference on Disruptive Technologies (ICDT),10.1109/ICDT61202.2024.10489036,2024 2nd International Conference on Disruptive Technologies (ICDT),,IEEE,2024 2nd international conference on disruptive technologies  icdt,2024 2nd international conference on disruptive technologies,2024 2nd international conference on disruptive technologies icdt
IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2020.3046924,IEEE Transactions on Neural Networks and Learning Systems,2162-237X,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2162-237X,ieee trans neural networks and learning systems,issn 2162 237x
IEEE Transactions on Consumer Electronics,10.1109/TCE.2024.3354824,IEEE Transactions on Consumer Electronics,0098-3063,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0098-3063,ieee trans consumer electronics,issn 0098 3063
"2020 International Conference on Sensing, Measurement \& Data Analytics in the era of Artificial Intelligence (ICSMD)",10.1109/ICSMD50554.2020.9261734,"2020 International Conference on Sensing, Measurement &amp; Data Analytics in the era of Artificial Intelligence (ICSMD)",,IEEE,2020 international conference on sensing  measurement  amp  data analytics in the era of artificial intelligence  icsmd,2020 international conference on sensing measurement data analytics in the era of artificial intelligence,2020 international conference on sensing measurement amp data analytics in the era of artificial intelligence icsmd
"2022 International Conference on Artificial Intelligence, Information Processing and Cloud Computing (AIIPCC)",10.1109/AIIPCC57291.2022.00016,"2022 International Conference on Artificial Intelligence, Information Processing and Cloud Computing (AIIPCC)",,IEEE,2022 international conference on artificial intelligence  information processing and cloud computing  aiipcc,2022 international conference on artificial intelligence information processing and cloud computing,2022 international conference on artificial intelligence information processing and cloud computing aiipcc
2020 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),10.1109/ICAIIC48513.2020.9065225,2020 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),,IEEE,2020 international conference on artificial intelligence in information and communication  icaiic,2020 international conference on artificial intelligence in information and communication,2020 international conference on artificial intelligence in information and communication icaiic
2023 6th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD57115.2023.10206191,2023 6th International Conference on Artificial Intelligence and Big Data (ICAIBD),,IEEE,2023 6th international conference on artificial intelligence and big data  icaibd,2023 6th international conference on artificial intelligence and big data,2023 6th international conference on artificial intelligence and big data icaibd
2024 2nd International Conference on Cyber Resilience (ICCR),10.1109/ICCR61006.2024.10533091,2024 2nd International Conference on Cyber Resilience (ICCR),,IEEE,2024 2nd international conference on cyber resilience  iccr,2024 2nd international conference on cyber resilience,2024 2nd international conference on cyber resilience iccr
"2024 International Conference on Communication, Computing and Internet of Things (IC3IoT)",10.1109/IC3IoT60841.2024.10550305,"2024 International Conference on Communication, Computing and Internet of Things (IC3IoT)",,IEEE,2024 international conference on communication  computing and internet of things  ic3iot,2024 international conference on communication computing and internet of things,2024 international conference on communication computing and internet of things ic3iot
2024 IEEE 2nd International Conference on Image Processing and Computer Applications (ICIPCA),10.1109/ICIPCA61593.2024.10709187,2024 IEEE 2nd International Conference on Image Processing and Computer Applications (ICIPCA),,IEEE,2024 ieee 2nd international conference on image processing and computer applications,2024 ieee 2nd international conference on image processing and computer applications,2024 ieee 2nd international conference on image processing and computer applications
"2023 4th International Conference on Artificial Intelligence, Robotics and Control (AIRC)",10.1109/AIRC57904.2023.10303076,"2023 4th International Conference on Artificial Intelligence, Robotics and Control (AIRC)",,IEEE,2023 4th international conference on artificial intelligence  robotics and control  airc,2023 4th international conference on artificial intelligence robotics and control,2023 4th international conference on artificial intelligence robotics and control airc
"2024 7th International Conference on Internet Applications, Protocols, and Services (NETAPPS)",10.1109/NETAPPS63333.2024.10823621,"2024 7th International Conference on Internet Applications, Protocols, and Services (NETAPPS)",,IEEE,2024 7th international conference on internet applications  protocols  and services  netapps,2024 7th international conference on internet applications protocols and services,2024 7th international conference on internet applications protocols and services netapps
IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3546340,IEEE Transactions on Intelligent Transportation Systems,1524-9050,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1524-9050,ieee trans intelligent transportation systems,issn 1524 9050
2023 IEEE 11th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),10.1109/ITAIC58329.2023.10408888,2023 IEEE 11th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),,IEEE,2023 ieee 11th joint international information technology and artificial intelligence conference,2023 ieee 11th joint international information technology and artificial intelligence conference,2023 ieee 11th joint international information technology and artificial intelligence conference
2025 5th International Conference on Artificial Intelligence and Education (ICAIE),10.1109/ICAIE64856.2025.11158710,2025 5th International Conference on Artificial Intelligence and Education (ICAIE),,IEEE,2025 5th international conference on artificial intelligence and education  icaie,2025 5th international conference on artificial intelligence and education,2025 5th international conference on artificial intelligence and education icaie
"2024 International Conference on Communication, Computer Sciences and Engineering (IC3SE)",10.1109/IC3SE62002.2024.10593404,"2024 International Conference on Communication, Computer Sciences and Engineering (IC3SE)",,IEEE,2024 international conference on communication  computer sciences and engineering  ic3se,2024 international conference on communication computer sciences and engineering,2024 international conference on communication computer sciences and engineering ic3se
"2023 7th International Conference On Computing, Communication, Control And Automation (ICCUBEA)",10.1109/ICCUBEA58933.2023.10392083,"2023 7th International Conference On Computing, Communication, Control And Automation (ICCUBEA)",,IEEE,2023 7th international conference on computing  communication  control and automation  iccubea,2023 7th international conference on computing communication control and automation,2023 7th international conference on computing communication control and automation iccubea
IEEE Open Journal of Engineering in Medicine and Biology,10.1109/OJEMB.2024.3508472,IEEE Open Journal of Engineering in Medicine and Biology,2644-1276,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2644-1276,ieee open  engineering in medicine and biology,issn 2644 1276
2023 IEEE International Conference on Industrial Technology (ICIT),10.1109/ICIT58465.2023.10143123,2023 IEEE International Conference on Industrial Technology (ICIT),,IEEE,2023 ieee international conference on industrial technology,2023 ieee international conference on industrial technology,2023 ieee international conference on industrial technology
2025 IEEE 12th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),10.1109/ITAIC64559.2025.11163176,2025 IEEE 12th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),,IEEE,2025 ieee 12th joint international information technology and artificial intelligence conference,2025 ieee 12th joint international information technology and artificial intelligence conference,2025 ieee 12th joint international information technology and artificial intelligence conference
2024 OES China Ocean Acoustics (COA),10.1109/COA58979.2024.10723573,2024 OES China Ocean Acoustics (COA),,IEEE,2024 oes china ocean acoustics  coa,2024 oes china ocean acoustics,2024 oes china ocean acoustics coa
2018 International Conference on Computational Science and Computational Intelligence (CSCI),10.1109/CSCI46756.2018.00290,2018 International Conference on Computational Science and Computational Intelligence (CSCI),,IEEE,2018 international conference on computational science and computational intelligence  csci,2018 international conference on computational science and computational intelligence,2018 international conference on computational science and computational intelligence csci
2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),10.1109/ICAAIC53929.2022.9792975,2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),,IEEE,2022 international conference on applied artificial intelligence and computing  icaaic,2022 international conference on applied artificial intelligence and computing,2022 international conference on applied artificial intelligence and computing icaaic
2022 3rd International Conference on Electronic Communication and Artificial Intelligence (IWECAI),10.1109/IWECAI55315.2022.00037,2022 3rd International Conference on Electronic Communication and Artificial Intelligence (IWECAI),,IEEE,2022 3rd international conference on electronic communication and artificial intelligence  iwecai,2022 3rd international conference on electronic communication and artificial intelligence,2022 3rd international conference on electronic communication and artificial intelligence iwecai
2022 6th Asian Conference on Artificial Intelligence Technology (ACAIT),10.1109/ACAIT56212.2022.10137971,2022 6th Asian Conference on Artificial Intelligence Technology (ACAIT),,IEEE,2022 6th asian conference on artificial intelligence technology  acait,2022 6th asian conference on artificial intelligence technology,2022 6th asian conference on artificial intelligence technology acait
IEEE Engineering Management Review,10.1109/EMR.2023.3272799,IEEE Engineering Management Review,0360-8581,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0360-8581,ieee engineering management review,issn 0360 8581
Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is Changing Business and Society,,,,,generative ai in practice  100  amazing ways generative artificial intelligence is changing business and society,generative ai in practice 100 amazing ways generative artificial intelligence is changing business and society,generative ai in practice 100 amazing ways generative artificial intelligence is changing business and society
2024 IEEE Conference on Artificial Intelligence (CAI),10.1109/CAI59869.2024.00100,2024 IEEE Conference on Artificial Intelligence (CAI),,IEEE,2024 ieee conference on artificial intelligence,2024 ieee conference on artificial intelligence,2024 ieee conference on artificial intelligence
IEEE Network,10.1109/MNET.2025.3580477,IEEE Network,0890-8044,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0890-8044,ieee network,issn 0890 8044
2024 IEEE International Conference on Energy Internet (ICEI),10.1109/ICEI63732.2024.10917080,2024 IEEE International Conference on Energy Internet (ICEI),,IEEE,2024 ieee international conference on energy internet,2024 ieee international conference on energy internet,2024 ieee international conference on energy internet
2024 IEEE Symposium on Computational Intelligence for Financial Engineering and Economics (CIFEr),10.1109/CIFEr62890.2024.10772906,2024 IEEE Symposium on Computational Intelligence for Financial Engineering and Economics (CIFEr),,IEEE,2024 ieee symposium on computational intelligence for financial engineering and economics,2024 ieee symposium on computational intelligence for financial engineering and economics,2024 ieee symposium on computational intelligence for financial engineering and economics
2024 IEEE International Symposium on Medical Measurements and Applications (MeMeA),10.1109/MeMeA60663.2024.10596771,2024 IEEE International Symposium on Medical Measurements and Applications (MeMeA),,IEEE,2024 ieee international symposium on medical measurements and applications,2024 ieee international symposium on medical measurements and applications,2024 ieee international symposium on medical measurements and applications
2020 International Wireless Communications and Mobile Computing (IWCMC),10.1109/IWCMC48107.2020.9148327,2020 International Wireless Communications and Mobile Computing (IWCMC),,IEEE,2020 international wireless communications and mobile computing  iwcmc,2020 international wireless communications and mobile computing,2020 international wireless communications and mobile computing iwcmc
2024 International Conference on Electrical Electronics and Computing Technologies (ICEECT),10.1109/ICEECT61758.2024.10739229,2024 International Conference on Electrical Electronics and Computing Technologies (ICEECT),,IEEE,2024 international conference on electrical electronics and computing technologies  iceect,2024 international conference on electrical electronics and computing technologies,2024 international conference on electrical electronics and computing technologies iceect
IEEE Internet of Things Journal,10.1109/JIOT.2023.3319630,IEEE Internet of Things Journal,2327-4662,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2327-4662,ieee internet of things journal,issn 2327 4662
2021 IEEE International Conference on Medical Imaging Physics and Engineering (ICMIPE),10.1109/ICMIPE53131.2021.9698877,2021 IEEE International Conference on Medical Imaging Physics and Engineering (ICMIPE),,IEEE,2021 ieee international conference on medical imaging physics and engineering,2021 ieee international conference on medical imaging physics and engineering,2021 ieee international conference on medical imaging physics and engineering
2025 10th International STEM Education Conference (iSTEM-Ed),10.1109/iSTEM-Ed65612.2025.11129384,2025 10th International STEM Education Conference (iSTEM-Ed),,IEEE,2025 10th international stem education conference  istem ed,2025 10th international stem education conference,2025 10th international stem education conference istem ed
Generative AI in Action,,,,,generative ai in action,generative ai in action,generative ai in action
Artificial Intelligence-Enabled Digital Twin for Smart Manufacturing,10.1002/9781394303601.ch11,Artificial Intelligence‐Enabled Digital Twin for Smart Manufacturing,,Wiley,artificial intelligence enabled digital twin for smart manufacturing,artificial intelligence enabled digital twin for smart manufacturing,artificial intelligence enabled digital twin for smart manufacturing
2024 International Conference on New Trends in Computational Intelligence (NTCI),10.1109/NTCI64025.2024.10776431,2024 International Conference on New Trends in Computational Intelligence (NTCI),,IEEE,2024 international conference on new trends in computational intelligence  ntci,2024 international conference on new trends in computational intelligence,2024 international conference on new trends in computational intelligence ntci
Artificial Intelligence in Action: Real-World Applications and Innovations,,,,,artificial intelligence in action  real world applications and innovations,artificial intelligence in action real world applications and innovations,artificial intelligence in action real world applications and innovations
2025 13th International Conference on Information and Education Technology (ICIET),10.1109/ICIET66371.2025.11046234,2025 13th International Conference on Information and Education Technology (ICIET),,IEEE,2025 13th international conference on information and education technology  iciet,2025 13th international conference on information and education technology,2025 13th international conference on information and education technology iciet
"Intelligent Security Systems: How Artificial Intelligence, Machine Learning and Data Science Work For and Against Computer Security",10.1002/9781119771579.fmatter,Intelligent Security Systems,,Wiley,intelligent security systems,intelligent security systems how artificial intelligence machine learning and data science work for and against computer security,intelligent security systems
2023 3rd International Conference on Educational Technology (ICET),10.1109/ICET59358.2023.10424147,2023 3rd International Conference on Educational Technology (ICET),,IEEE,2023 3rd international conference on educational technology  icet,2023 3rd international conference on educational technology,2023 3rd international conference on educational technology icet
IEEE Transactions on Artificial Intelligence,10.1109/TAI.2024.3350543,IEEE Transactions on Artificial Intelligence,2691-4581,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2691-4581,ieee trans artificial intelligence,issn 2691 4581
"2024 International Conference on Electrical Drives, Power Electronics \& Engineering (EDPEE)",10.1109/EDPEE61724.2024.00079,"2024 International Conference on Electrical Drives, Power Electronics &amp;amp; Engineering (EDPEE)",,IEEE,2024 international conference on electrical drives  power electronics  amp amp  engineering  edpee,2024 international conference on electrical drives power electronics engineering,2024 international conference on electrical drives power electronics amp amp engineering edpee
SoutheastCon 2025,10.1109/SoutheastCon56624.2025.10971683,SoutheastCon 2025,,IEEE,southeastcon 2025,southeastcon 2025,southeastcon 2025
IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/TETCI.2024.3446690,IEEE Transactions on Emerging Topics in Computational Intelligence,2471-285X,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2471-285X,ieee trans emerging topics in computational intelligence,issn 2471 285x
2025 International Conference on Pervasive Computational Technologies (ICPCT),10.1109/ICPCT64145.2025.10940581,2025 International Conference on Pervasive Computational Technologies (ICPCT),,IEEE,2025 international conference on pervasive computational technologies  icpct,2025 international conference on pervasive computational technologies,2025 international conference on pervasive computational technologies icpct
"2024 International Conference on Electrical, Communication and Computer Engineering (ICECCE)",10.1109/ICECCE63537.2024.10823604,"2024 International Conference on Electrical, Communication and Computer Engineering (ICECCE)",,IEEE,2024 international conference on electrical  communication and computer engineering  icecce,2024 international conference on electrical communication and computer engineering,2024 international conference on electrical communication and computer engineering icecce
2024 IEEE International Conference on Digital Health (ICDH),10.1109/ICDH62654.2024.00047,2024 IEEE International Conference on Digital Health (ICDH),,IEEE,2024 ieee international conference on digital health,2024 ieee international conference on digital health,2024 ieee international conference on digital health
2024 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),10.1109/VRW62533.2024.00229,2024 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),,IEEE,2024 ieee conference on virtual reality and 3d user interfaces abstracts and workshops,2024 ieee conference on virtual reality and 3d user interfaces abstracts and workshops,2024 ieee conference on virtual reality and 3d user interfaces abstracts and workshops
2024 16th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI),10.1109/IIAI-AAI63651.2024.00155,2024 16th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI),,IEEE,2024 16th iiai international congress on advanced applied informatics  iiai aai,2024 16th iiai international congress on advanced applied informatics,2024 16th iiai international congress on advanced applied informatics iiai aai
2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),10.1109/VRW66409.2025.00036,2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),,IEEE,2025 ieee conference on virtual reality and 3d user interfaces abstracts and workshops,2025 ieee conference on virtual reality and 3d user interfaces abstracts and workshops,2025 ieee conference on virtual reality and 3d user interfaces abstracts and workshops
2025 7th International Conference on Computer Science and Technologies in Education (CSTE),10.1109/CSTE64638.2025.11092216,2025 7th International Conference on Computer Science and Technologies in Education (CSTE),,IEEE,2025 7th international conference on computer science and technologies in education  cste,2025 7th international conference on computer science and technologies in education,2025 7th international conference on computer science and technologies in education cste
2024 International Seminar on Application for Technology of Information and Communication (iSemantic),10.1109/iSemantic63362.2024.10762540,2024 International Seminar on Application for Technology of Information and Communication (iSemantic),,IEEE,2024 international seminar on application for technology of information and communication  isemantic,2024 international seminar on application for technology of information and communication,2024 international seminar on application for technology of information and communication isemantic
"2024 IEEE 12th International Conference on Information, Communication and Networks (ICICN)",10.1109/ICICN62625.2024.10761527,"2024 IEEE 12th International Conference on Information, Communication and Networks (ICICN)",,IEEE,2024 ieee 12th international conference on information communication and networks,2024 ieee 12th international conference on information communication and networks,2024 ieee 12th international conference on information communication and networks
"2019 Computing, Communications and IoT Applications (ComComAp)",10.1109/ComComAp46287.2019.9018815,"2019 Computing, Communications and IoT Applications (ComComAp)",,IEEE,2019 computing  communications and iot applications  comcomap,2019 computing communications and iot applications,2019 computing communications and iot applications comcomap
2024 IEEE 6th International Symposium on Logistics and Industrial Informatics (LINDI),10.1109/LINDI63813.2024.10820388,2024 IEEE 6th International Symposium on Logistics and Industrial Informatics (LINDI),,IEEE,2024 ieee 6th international symposium on logistics and industrial informatics,2024 ieee 6th international symposium on logistics and industrial informatics,2024 ieee 6th international symposium on logistics and industrial informatics
2024 IEEE Integrated STEM Education Conference (ISEC),10.1109/ISEC61299.2024.10664756,2024 IEEE Integrated STEM Education Conference (ISEC),,IEEE,2024 ieee integrated stem education conference,2024 ieee integrated stem education conference,2024 ieee integrated stem education conference
Generative Artificial Intelligence for Biomedical and Smart Health Informatics,10.1002/9781394280735.ch17,Generative Artificial Intelligence for Biomedical and Smart Health Informatics,,Wiley,generative artificial intelligence for biomedical and smart health informatics,generative artificial intelligence for biomedical and smart health informatics,generative artificial intelligence for biomedical and smart health informatics
2025 International Conference on Computing Technologies \& Data Communication (ICCTDC),10.1109/ICCTDC64446.2025.11159054,2025 International Conference on Computing Technologies &amp;amp; Data Communication (ICCTDC),,IEEE,2025 international conference on computing technologies  amp amp  data communication  icctdc,2025 international conference on computing technologies data communication,2025 international conference on computing technologies amp amp data communication icctdc
2023 International Conference on Sustainable Technology and Engineering (i-COSTE),10.1109/i-COSTE60462.2023.10500778,2023 International Conference on Sustainable Technology and Engineering (i-COSTE),,IEEE,2023 international conference on sustainable technology and engineering  i coste,2023 international conference on sustainable technology and engineering,2023 international conference on sustainable technology and engineering i coste
"International Conference on Innovation, Communication and Engineering 2024 (ICICE 2024)",10.1049/icp.2025.0213,IET Conference Proceedings,2732-4494,Institution of Engineering and Technology (IET),ISSN:2732-4494,international conference on innovation communication and engineering 2024,issn 2732 4494
2024 3rd International Conference on Applied Artificial Intelligence and Computing (ICAAIC),10.1109/ICAAIC60222.2024.10575055,2024 3rd International Conference on Applied Artificial Intelligence and Computing (ICAAIC),,IEEE,2024 3rd international conference on applied artificial intelligence and computing  icaaic,2024 3rd international conference on applied artificial intelligence and computing,2024 3rd international conference on applied artificial intelligence and computing icaaic
2022 International Conference on Cyber Resilience (ICCR),10.1109/ICCR56254.2022.9996040,2022 International Conference on Cyber Resilience (ICCR),,IEEE,2022 international conference on cyber resilience  iccr,2022 international conference on cyber resilience,2022 international conference on cyber resilience iccr
IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2020.3033184,IEEE Transactions on Information Forensics and Security,1556-6013,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1556-6013,ieee trans information forensics and security,issn 1556 6013
2024 9th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS),10.1109/ICIIBMS62405.2024.10792726,2024 9th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS),,IEEE,2024 9th international conference on intelligent informatics and biomedical sciences  iciibms,2024 9th international conference on intelligent informatics and biomedical sciences,2024 9th international conference on intelligent informatics and biomedical sciences iciibms
2025 29th International Conference on Information Technology (IT),10.1109/IT64745.2025.10930297,2025 29th International Conference on Information Technology (IT),,IEEE,2025 29th international conference on information technology  it,2025 29th international conference on information technology,2025 29th international conference on information technology it
"2022 6th International Conference on Cryptography, Security and Privacy (CSP)",10.1109/CSP55486.2022.00024,"2022 6th International Conference on Cryptography, Security and Privacy (CSP)",,IEEE,2022 6th international conference on cryptography  security and privacy  csp,2022 6th international conference on cryptography security and privacy,2022 6th international conference on cryptography security and privacy csp
2025 IEEE International Symposium on the Application of Artificial Intelligence in Electrical Engineering (AAIEE),10.1109/AAIEE64965.2025.11101561,2025 IEEE International Symposium on the Application of Artificial Intelligence in Electrical Engineering (AAIEE),,IEEE,2025 ieee international symposium on the application of artificial intelligence in electrical engineering,2025 ieee international symposium on the application of artificial intelligence in electrical engineering,2025 ieee international symposium on the application of artificial intelligence in electrical engineering
IEEE Communications Surveys \& Tutorials,10.1109/COMST.2024.3400011,IEEE Communications Surveys &amp; Tutorials,1553-877X,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1553-877X,ieee communications surveys tutorials,issn 1553 877x
Generative AI: Navigating the Course to the Artificial General Intelligence Future,,,,,generative ai  navigating the course to the artificial general intelligence future,generative ai navigating the course to the artificial general intelligence future,generative ai navigating the course to the artificial general intelligence future
2025 Joint Urban Remote Sensing Event (JURSE),10.1109/JURSE60372.2025.11076064,2025 Joint Urban Remote Sensing Event (JURSE),,IEEE,2025 joint urban remote sensing event  jurse,2025 joint urban remote sensing event,2025 joint urban remote sensing event jurse
2025 IEEE Engineering Education World Conference (EDUNINE),10.1109/EDUNINE62377.2025.10981398,2025 IEEE Engineering Education World Conference (EDUNINE),,IEEE,2025 ieee engineering education world conference,2025 ieee engineering education world conference,2025 ieee engineering education world conference
2018 International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD.2018.8396171,2018 International Conference on Artificial Intelligence and Big Data (ICAIBD),,IEEE,2018 international conference on artificial intelligence and big data  icaibd,2018 international conference on artificial intelligence and big data,2018 international conference on artificial intelligence and big data icaibd
2022 5th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD55127.2022.9820158,2022 5th International Conference on Artificial Intelligence and Big Data (ICAIBD),,IEEE,2022 5th international conference on artificial intelligence and big data  icaibd,2022 5th international conference on artificial intelligence and big data,2022 5th international conference on artificial intelligence and big data icaibd
2022 4th International Conference on Natural Language Processing (ICNLP),10.1109/ICNLP55136.2022.00048,2022 4th International Conference on Natural Language Processing (ICNLP),,IEEE,2022 4th international conference on natural language processing  icnlp,2022 4th international conference on natural language processing,2022 4th international conference on natural language processing icnlp
IEEE Computer Graphics and Applications,10.1109/MCG.2025.3555122,IEEE Computer Graphics and Applications,0272-1716,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0272-1716,ieee computer graphics and applications,issn 0272 1716
"2025 International Conference on Advancements in Smart, Secure and Intelligent Computing (ASSIC)",10.1109/ASSIC64892.2025.11158640,"2025 International Conference on Advancements in Smart, Secure and Intelligent Computing (ASSIC)",,IEEE,2025 international conference on advancements in smart  secure and intelligent computing  assic,2025 international conference on advancements in smart secure and intelligent computing,2025 international conference on advancements in smart secure and intelligent computing assic
"2024 IEEE 2nd International Conference on Control, Electronics and Computer Technology (ICCECT)",10.1109/ICCECT60629.2024.10545728,"2024 IEEE 2nd International Conference on Control, Electronics and Computer Technology (ICCECT)",,IEEE,2024 ieee 2nd international conference on control electronics and computer technology,2024 ieee 2nd international conference on control electronics and computer technology,2024 ieee 2nd international conference on control electronics and computer technology
