termino_a,termino_b,peso
personalization,proposed,10
methods,personalization,15
paper,personalization,26
data,prompting,37
generative,prompting,59
models,prompting,60
images,prompting,25
prompting,using,37
image,privacy,97
ethics,privacy,36
ethics,paper,35
ethics,using,26
proposed,transparency,16
image,training data,125
learning,prompting,38
model,prompting,29
prompting,proposed,12
methods,prompting,27
data,ethics,54
ethics,methods,24
fine tuning,method,55
image,prompting,12
method,prompting,11
method,transparency,19
generative models,privacy,36
generative models,training data,28
ethics,learning,34
ethics,model,21
ethics,method,4
explainability,proposed,22
explainability,methods,33
paper,prompting,23
intelligence,prompting,35
machine learning,prompting,9
machine learning,training data,61
data,personalization,39
network,prompting,5
adversarial,prompting,8
fine tuning,prompting,9
fine tuning,methods,52
ai literacy,learning,21
ai literacy,generative,30
ai literacy,methods,11
ai literacy,using,13
ai literacy,model,3
privacy,transparency,45
generative models,personalization,4
models,personalization,33
image,personalization,8
adversarial,personalization,8
adversarial,ethics,13
ai literacy,proposed,3
algorithmic bias,ethics,9
algorithmic bias,paper,10
ethics,transparency,13
explainability,privacy,19
multimodality,privacy,2
multimodality,transparency,1
ethics,explainability,12
ethics,multimodality,1
explainability,multimodality,1
data,multimodality,4
learning,multimodality,4
image,multimodality,4
intelligence,multimodality,3
algorithmic bias,transparency,4
ethics,machine learning,12
co creation,machine learning,1
co creation,learning,4
co creation,generative,11
co creation,models,8
co creation,image,4
co creation,using,3
co creation,intelligence,11
algorithmic bias,generative,22
ai literacy,privacy,4
ai literacy,models,8
ai literacy,paper,9
ethics,images,7
ethics,proposed,7
ai literacy,method,2
algorithmic bias,proposed,1
prompting,transparency,6
ethics,network,6
human ai interaction,model,1
human ai interaction,paper,4
human ai interaction,using,5
human ai interaction,intelligence,6
human ai interaction,privacy,2
human ai interaction,transparency,2
data,human ai interaction,3
human ai interaction,learning,1
ethics,training data,2
ai literacy,images,2
algorithmic bias,methods,9
co creation,privacy,1
co creation,ethics,1
co creation,paper,6
machine learning,personalization,10
images,personalization,10
algorithmic bias,explainability,8
algorithmic bias,model,10
adversarial,algorithmic bias,10
algorithmic bias,using,10
generative,human ai interaction,4
co creation,personalization,1
co creation,data,3
co creation,images,5
ethics,generative models,3
algorithmic bias,image,3
ai literacy,image,1
fine tuning,machine learning,9
privacy,prompting,4
generative models,prompting,5
fine tuning,image,48
explainability,method,11
algorithmic bias,method,2
ai literacy,prompting,1
personalization,privacy,14
personalization,transparency,3
algorithmic bias,personalization,1
algorithmic bias,generative models,1
personalization,training data,2
fine tuning,images,41
fine tuning,training data,11
ai literacy,ethics,2
generative models,transparency,6
adversarial,human ai interaction,1
co creation,method,1
explainability,generative models,3
ai literacy,network,1
co creation,methods,1
explainability,prompting,2
explainability,fine tuning,3
model,multimodality,5
generative,multimodality,5
ai literacy,training data,1
fine tuning,transparency,5
ethics,personalization,3
ai literacy,personalization,2
co creation,prompting,1
ethics,fine tuning,2
machine learning,multimodality,2
images,multimodality,1
multimodality,paper,4
method,personalization,4
multimodality,network,4
methods,multimodality,5
method,multimodality,2
adversarial,multimodality,2
models,multimodality,2
human ai interaction,training data,1
human ai interaction,image,1
ai literacy,transparency,1
prompting,training data,1
multimodality,using,2
fine tuning,personalization,1
generative models,multimodality,1
explainability,training data,1
